Resolution,type,Standart,RQ,,,,,W,H,W*Ratio=H,W/8,W/16,W/32,,H/8,H/16,H/32
160x120,4:3,,,,,,,160,120,120,20,10,5,,15,7.5,3.75
240x180,4:3,,,,,,,240,180,180,30,15,7.5,,22.5,11.25,5.63
320x240,4:3,,,,,***,,320,240,240,40,20,10,,30,15,7.5
400x300,4:3,,,,,,,400,300,300,50,25,12.5,,37.5,18.75,9.38
480x360,4:3,,,,,,,480,360,360,60,30,15,,45,22.5,11.25
640x480,4:3,,,,,***,,640,480,480,80,40,20,,60,30,15
720x540,4:3,,,,,,,720,540,540,90,45,22.5,,67.5,33.75,16.88
960x720,4:3,,,,,,,960,720,720,120,60,30,,90,45,22.5

160x90,16:9,,,,play,,,160,90,90,20,10,5,,11.25,5.63,2.81
240x136,16:9,,,,play,**,,240,136,135,30,15,7.5,,17,8.5,4.25
320x180,16:9,,,apple,play,,,320,180,180,40,20,10,,22.5,11.25,5.63
400x226,16:9,,,,play,,,400,226,225,50,25,12.5,,28.25,14.13,7.06
480x272,16:9,,,apple,,***,,480,272,270,60,30,15,,34,17,8.5
640x360,16:9,,,apple,play,**,,640,360,360,80,40,20,,45,22.5,11.25
720x400,16:9,,,,,***,,720,400,405,90,45,22.5,,50,25,12.5
848x480,16:9,h480 apple,,apple,,***,,848,480,477,106,53,26.5,,60,30,15
864x480,16:9,h480 fredo,,,play,****,,864,480,486,108,54,27,,60,30,15
1280x720,16:9,,,apple,,***,,1280,720,720,160,80,40,,90,45,22.5
1920x1072,16:9,,hd1080 /16,apple,,***,,1920,1072,1080,240,120,60,,134,67,33.5
1920x1080,16:9,hd1080,,apple,,***,,1920,1080,1080,240,120,60,,135,67.5,33.75
1920x1088,16:9,,hd1080/16,,play,*****,,1920,1088,1080,240,120,60,,136,68,34

240x104,2.35:1,,,,play,**,,240,104,102.13,30,13,3.25,,15,6.5,3.25
320x136,2.35:1,,,Apple (132),play,,,320,136,136.17,40,17,4.25,,20,8.5,4.25
400x168,2.35:1,,,,play,,,400,168,170.21,50,21,5.25,,25,10.5,5.25
480x208,2.35:1,,,apple(200),,***,,480,208,204.26,60,26,6.5,,30,13,6.5
640x272,2.35:1,,,Apple (268),play,****,,640,272,272.34,80,34,8.5,,40,17,8.5
848x352,2.35:1,,,apple,,***,,848,352,360.85,106,44,11,,53,22,11
1280x532,2.35:1,,,apple,,**,,1280,532,544.68,160,66.5,16.63,,80,33.25,16.63
1280x544,2.35:1,,,,play,****,,1280,544,544.68,160,68,17,,80,34,17
1920x772,2.35:1,h1080 scope,,apple,,**,,1920,772,817.02,240,96.5,24.13,,120,48.25,24.13
1920x816,2.35:1,,,,play,****,,1920,816,817.02,240,102,25.5,,120,51,25.5

720x404,,,pal resized to 16/9
720x406,16:9,,pal resized to 16/9
720x408,16:9,,pal resized to 16/9
720x576,3:4,pal
